Date, TemperatureHigh, TemperatureLow, DewPoint, Humidity, Pressure, PrecipitationIntensity, PrecipitationType, NextDayPrecipitationType
2019-01-14, 31.46, 15.86, 9.72, 0.64, 1024.44, 0, none, none
2019-01-13, 26.94, 13.08, 3.87, 0.57, 1031.53, 0, none, none
2019-01-12, 24.08, 10.55, -2.47, 0.44, 1031.85, 0, none, none
2019-01-11, 24.26, 9.6, 4.74, 0.52, 1018.91, 0, none, none
2019-01-10, 32, 19.23, 18.02, 0.61, 1001.23, 0.0001, snow, none
2019-01-09, 39.42, 31.21, 30.88, 0.83, 995.41, 0.009, rain, snow
2019-01-08, 31.53, 31, 22.23, 0.81, 1017.35, 0.0041, snow, rain
2019-01-07, 26.74, 22.77, -1.27, 0.37, 1029.34, 0, none, snow
2019-01-06, 41.75, 14.85, 22.76, 0.67, 1011, 0, none, none
2019-01-05, 38.21, 31.31, 31.78, 0.89, 1003.94, 0.0027, rain, none
2019-01-04, 44.56, 31.54, 24.64, 0.61, 1012.19, 0, none, rain
2019-01-03, 40.05, 32.21, 25.39, 0.73, 1014.13, 0.0014, snow, none
2019-01-02, 33.39, 25.07, 8.83, 0.46, 1025.52, 0, none, snow
2019-01-01, 51.7, 24.17, 31.29, 0.75, 1008.01, 0.0161, rain, none
2018-12-31, 41.11, 33.83, 27.05, 0.77, 1025.9, 0.0048, snow, rain
2018-12-30, 33.88, 26.22, 13.17, 0.55, 1023.61, 0, none, snow
2018-12-29, 48.13, 23.45, 30.17, 0.73, 1012.38, 0, none, none
2018-12-28, 35.69, 33.23, 30.68, 0.91, 1021.05, 0.0137, rain, none
2018-12-27, 34.17, 27.24, 12.82, 0.51, 1036.13, 0, none, rain
2018-12-26, 36.24, 24.88, 11.51, 0.51, 1029.19, 0, none, none
2018-12-25, 34.51, 19.39, 12.55, 0.52, 1022.66, 0, none, none
2018-12-24, 36.49, 26.71, 24.21, 0.74, 1017.03, 0, none, none
2018-12-23, 38.2, 25.72, 17.08, 0.54, 1017.44, 0, none, none
2018-12-22, 53.17, 29.41, 39.35, 0.77, 995.79, 0.0013, rain, none
2018-12-21, 63.19, 52.64, 49.68, 0.96, 1003.14, 0.0338, rain, rain
2018-12-20, 45.89, 35.91, 23.69, 0.69, 1019.39, 0.0003, rain, rain
2018-12-19, 38.36, 22.33, 10.97, 0.49, 1018.91, 0, none, rain
2018-12-18, 29.15, 21.33, 10.18, 0.51, 1011.47, 0.0001, snow, none
2018-12-17, 39.37, 22.75, 31.51, 0.84, 1003.94, 0.0035, rain, snow
2018-12-16, 39.59, 33.43, 30.03, 0.81, 1019.53, 0.0138, rain, rain
2018-12-15, 52.99, 30.76, 35.92, 0.77, 1022.87, 0, none, rain
2018-12-14, 44.84, 38.06, 25.71, 0.7, 1031.57, 0, none, none
2018-12-13, 28.38, 25.43, 10.66, 0.65, 1033.91, 0, none, none
2018-12-12, 34.4, 11.48, 11.93, 0.53, 1018.99, 0, none, none
2018-12-11, 34.61, 24.34, 13.37, 0.67, 1019.59, 0, none, none
2018-12-10, 35.47, 13.05, 13.35, 0.6, 1020.62, 0, none, none
2018-12-09, 33.8, 18.11, 13.59, 0.68, 1027.62, 0, none, none
2018-12-08, 27.14, 12.4, 2.86, 0.48, 1031.09, 0, none, none
2018-12-07, 35.55, 15.25, 15.01, 0.54, 1023.77, 0, none, none
2018-12-06, 36.73, 29.53, 19.88, 0.65, 1019.02, 0, none, none
2018-12-05, 32.2, 24.29, 14.07, 0.62, 1019.2, 0, none, none
2018-12-04, 34.17, 17.4, 15.61, 0.52, 1012.32, 0, none, none
2018-12-03, 50.93, 33.48, 37.45, 0.8, 1001.25, 0.0002, rain, none
2018-12-02, 44.4, 39.57, 37.79, 0.96, 1012.07, 0.0361, rain, rain
2018-12-01, 41.26, 31.3, 26.9, 0.74, 1022.67, 0.0001, snow, rain
2018-11-30, 39.4, 31.04, 26.2, 0.74, 1017.18, 0, none, snow
2018-11-29, 41.74, 27.29, 27.41, 0.65, 1007.55, 0.0001, rain, none
2018-11-28, 40.45, 36.76, 29.34, 0.76, 993.63, 0.0002, snow, rain
2018-11-27, 39.96, 32.38, 34.22, 0.9, 992.99, 0.0294, rain, snow
2018-11-26, 41.3, 35.8, 37.73, 0.97, 1012.33, 0.028, rain, rain
2018-11-25, 42.87, 36.07, 37.36, 0.95, 1011.51, 0.0062, rain, rain
2018-11-24, 42.8, 35.04, 20.2, 0.65, 1020.58, 0.0012, rain, rain
2018-11-23, 29.45, 19.92, 0.69, 0.46, 1032.54, 0, none, rain
2018-11-22, 16.83, 9.48, -1.97, 0.49, 1027.63, 0, none, none
2018-11-21, 37.94, 9.03, 23.22, 0.77, 1014.83, 0.0017, snow, none
2018-11-20, 33.83, 25.36, 31.77, 0.95, 1013.72, 0.0154, snow, snow
2018-11-19, 36.36, 33.05, 32.06, 0.93, 1020.84, 0.0099, rain, snow
2018-11-18, 37.63, 31.7, 23.92, 0.63, 1027.15, 0, none, rain
2018-11-17, 44.89, 32.81, 29.34, 0.68, 1017.03, 0.0025, rain, none
2018-11-16, 35.51, 32.19, 30.35, 0.9, 1006.74, 0.0244, snow, rain
2018-11-15, 29.55, 26.37, 8.83, 0.52, 1034.02, 0.0048, snow, snow
2018-11-14, 32.53, 19.4, 8.54, 0.41, 1026.61, 0.0001, snow, snow
2018-11-13, 43.64, 29.59, 37.79, 0.9, 1016.07, 0.0516, rain, snow
2018-11-12, 47.73, 35.46, 24.04, 0.65, 1029.86, 0, none, rain
2018-11-11, 42.51, 24.87, 14.96, 0.45, 1024.69, 0, none, none
2018-11-10, 44.55, 31.64, 30.99, 0.7, 1010.56, 0.0195, rain, none
2018-11-09, 46.62, 41.77, 33.44, 0.8, 1025.86, 0.017, rain, rain
2018-11-08, 52.67, 29.23, 29.98, 0.58, 1022.64, 0, none, rain
2018-11-07, 60.75, 38.56, 40.18, 0.66, 1011.48, 0.0001, rain, none
